clip_id,group_id,split_official,video_name,gender,ethnicity,age_group,extraversion,neuroticism,agreeableness,conscientiousness,openness,interview,avg_trait
--Ymqszjv54.001,--Ymqszjv54,train,--Ymqszjv54.001.mp4,1,2,5,0.5514018691588786,0.5,0.5274725274725275,0.6504854368932039,0.7444444444444444,0.5887850467289719,0.5947608555938109
--Ymqszjv54.003,--Ymqszjv54,train,--Ymqszjv54.003.mp4,1,2,5,0.3925233644859813,0.4270833333333333,0.5164835164835165,0.4757281553398058,0.4666666666666667,0.3925233644859813,0.4556970072618607
--Ymqszjv54.004,--Ymqszjv54,train,--Ymqszjv54.004.mp4,1,2,5,0.3177570093457944,0.3229166666666666,0.5494505494505494,0.3689320388349514,0.5444444444444444,0.4018691588785046,0.4207001417484812
--Ymqszjv54.005,--Ymqszjv54,train,--Ymqszjv54.005.mp4,1,2,5,0.2990654205607476,0.2916666666666666,0.3736263736263736,0.3203883495145631,0.3444444444444444,0.2803738317757009,0.32583825096255903
-2qsCrkXdWs.001,-2qsCrkXdWs,train,-2qsCrkXdWs.001.mp4,1,2,2,0.4766355140186916,0.6041666666666666,0.5934065934065933,0.5728155339805825,0.611111111111111,0.5607476635514018,0.5716270838367291
-55DRRMTppE.000,-55DRRMTppE,train,-55DRRMTppE.000.mp4,2,2,4,0.5794392523364487,0.65625,0.6483516483516484,0.7184466019417477,0.6,0.616822429906542,0.640497500525969
-55DRRMTppE.005,-55DRRMTppE,train,-55DRRMTppE.005.mp4,2,2,4,0.7383177570093458,0.6875,0.7692307692307692,0.7378640776699029,0.7333333333333333,0.7570093457943924,0.7332491874486703
-5riMLK-PgU.001,-5riMLK-PgU,train,-5riMLK-PgU.001.mp4,1,2,4,0.5046728971962617,0.3333333333333333,0.5164835164835165,0.3009708737864077,0.5555555555555556,0.3738317757009345,0.4422032352710149
-6otZ7M-Mro.000,-6otZ7M-Mro,train,-6otZ7M-Mro.000.mp4,1,2,5,0.5514018691588786,0.59375,0.6153846153846153,0.7281553398058251,0.7,0.644859813084112,0.6377383648698638
-6otZ7M-Mro.001,-6otZ7M-Mro,train,-6otZ7M-Mro.001.mp4,1,2,5,0.4672897196261683,0.5729166666666666,0.7692307692307692,0.6990291262135921,0.7,0.6728971962616823,0.6416932563474393
