group_id,clip_id,split_official,video_name,ethnicity,gender,age_group,extraversion,neuroticism,agreeableness,conscientiousness,openness,interview,avg_trait,audio_path,audio_exists,speech_sec,voiced_ratio,n_seg
--Ymqszjv54,--Ymqszjv54.001,train,--Ymqszjv54.001.mp4,2,1,5,0.5514018691588786,0.5,0.5274725274725275,0.6504854368932039,0.7444444444444444,0.5887850467289719,0.5947608555938109,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\--Ymqszjv54.001.wav,True,12.418,0.8278666666666666,6
--Ymqszjv54,--Ymqszjv54.003,train,--Ymqszjv54.003.mp4,2,1,5,0.3925233644859813,0.4270833333333333,0.5164835164835165,0.4757281553398058,0.4666666666666667,0.3925233644859813,0.4556970072618607,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\--Ymqszjv54.003.wav,True,11.036,0.7357333333333334,8
--Ymqszjv54,--Ymqszjv54.004,train,--Ymqszjv54.004.mp4,2,1,5,0.3177570093457944,0.3229166666666666,0.5494505494505494,0.3689320388349514,0.5444444444444444,0.4018691588785046,0.4207001417484812,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\--Ymqszjv54.004.wav,True,9.768,0.6512,6
--Ymqszjv54,--Ymqszjv54.005,train,--Ymqszjv54.005.mp4,2,1,5,0.2990654205607476,0.2916666666666666,0.3736263736263736,0.3203883495145631,0.3444444444444444,0.2803738317757009,0.32583825096255903,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\--Ymqszjv54.005.wav,True,10.392,0.6928,9
-2qsCrkXdWs,-2qsCrkXdWs.001,train,-2qsCrkXdWs.001.mp4,2,1,2,0.4766355140186916,0.6041666666666666,0.5934065934065933,0.5728155339805825,0.611111111111111,0.5607476635514018,0.5716270838367291,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\-2qsCrkXdWs.001.wav,True,13.434,0.8956,8
-55DRRMTppE,-55DRRMTppE.000,train,-55DRRMTppE.000.mp4,2,2,4,0.5794392523364487,0.65625,0.6483516483516484,0.7184466019417477,0.6,0.616822429906542,0.640497500525969,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\-55DRRMTppE.000.wav,True,12.624,0.8416,3
-55DRRMTppE,-55DRRMTppE.005,train,-55DRRMTppE.005.mp4,2,2,4,0.7383177570093458,0.6875,0.7692307692307692,0.7378640776699029,0.7333333333333333,0.7570093457943924,0.7332491874486703,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\-55DRRMTppE.005.wav,True,12.966,0.8644,5
-5riMLK-PgU,-5riMLK-PgU.001,train,-5riMLK-PgU.001.mp4,2,1,4,0.5046728971962617,0.3333333333333333,0.5164835164835165,0.3009708737864077,0.5555555555555556,0.3738317757009345,0.4422032352710149,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\-5riMLK-PgU.001.wav,True,11.396,0.7597333333333334,7
-6otZ7M-Mro,-6otZ7M-Mro.000,train,-6otZ7M-Mro.000.mp4,2,1,5,0.5514018691588786,0.59375,0.6153846153846153,0.7281553398058251,0.7,0.644859813084112,0.6377383648698638,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\-6otZ7M-Mro.000.wav,True,14.998,0.9998666666666666,1
-6otZ7M-Mro,-6otZ7M-Mro.001,train,-6otZ7M-Mro.001.mp4,2,1,5,0.4672897196261683,0.5729166666666666,0.7692307692307692,0.6990291262135921,0.7,0.6728971962616823,0.6416932563474393,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\-6otZ7M-Mro.001.wav,True,14.05,0.9366666666666668,6
-8asrRvfJWA,-8asrRvfJWA.003,train,-8asrRvfJWA.003.mp4,3,2,6,0.4485981308411215,0.3645833333333333,0.4725274725274725,0.4466019417475728,0.4777777777777778,0.3457943925233644,0.4420177312454555,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\-8asrRvfJWA.003.wav,True,14.966,0.9977333333333332,1
-8asrRvfJWA,-8asrRvfJWA.004,train,-8asrRvfJWA.004.mp4,3,2,6,0.6728971962616823,0.6458333333333333,0.6153846153846153,0.7864077669902914,0.8666666666666667,0.7289719626168224,0.7174379157273177,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\-8asrRvfJWA.004.wav,True,12.35,0.8233333333333334,7
-9BZ8A9U7TE,-9BZ8A9U7TE.000,train,-9BZ8A9U7TE.000.mp4,2,2,2,0.3831775700934579,0.3125,0.4395604395604395,0.3495145631067961,0.4777777777777778,0.2523364485981308,0.3925060701076942,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\-9BZ8A9U7TE.000.wav,True,14.574,0.9716,3
-9BZ8A9U7TE,-9BZ8A9U7TE.003,train,-9BZ8A9U7TE.003.mp4,2,2,2,0.4299065420560748,0.4583333333333333,0.5274725274725275,0.2718446601941747,0.4666666666666667,0.3925233644859813,0.43084474594455535,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\-9BZ8A9U7TE.003.wav,True,12.966,0.8644,5
-9BZ8A9U7TE,-9BZ8A9U7TE.004,train,-9BZ8A9U7TE.004.mp4,2,2,2,0.5046728971962617,0.59375,0.6043956043956044,0.4174757281553398,0.611111111111111,0.4859813084112149,0.5462810681716633,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\-9BZ8A9U7TE.004.wav,True,14.03,0.9353333333333332,3
-AmMDnVl4s8,-AmMDnVl4s8.003,train,-AmMDnVl4s8.003.mp4,2,2,5,0.7663551401869159,0.84375,0.824175824175824,0.7572815533980582,0.7888888888888888,0.7383177570093457,0.7960902813299373,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\-AmMDnVl4s8.003.wav,True,13.646,0.9097333333333334,3
-C5M9g4Quzc,-C5M9g4Quzc.002,train,-C5M9g4Quzc.002.mp4,1,1,4,0.588785046728972,0.5104166666666666,0.6153846153846153,0.4757281553398058,0.4888888888888889,0.5046728971962616,0.5358406746017896,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\-C5M9g4Quzc.002.wav,True,13.842,0.9228,4
-DOqN0d8KHw,-DOqN0d8KHw.002,train,-DOqN0d8KHw.002.mp4,2,2,4,0.4112149532710281,0.4479166666666667,0.5714285714285714,0.4368932038834952,0.611111111111111,0.4579439252336448,0.4957129012721745,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\-DOqN0d8KHw.002.wav,True,13.294,0.8862666666666666,3
-DOqN0d8KHw,-DOqN0d8KHw.003,train,-DOqN0d8KHw.003.mp4,2,2,4,0.5514018691588786,0.4479166666666667,0.6483516483516484,0.4951456310679611,0.5333333333333333,0.3831775700934579,0.5352298297156975,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\-DOqN0d8KHw.003.wav,True,13.03,0.8686666666666666,5
