group_id,clip_id,split_official,VideoName,Ethnicity,Gender,AgeGroup,extraversion,neuroticism,agreeableness,conscientiousness,openness,interview
--Ymqszjv54,--Ymqszjv54.001,train,--Ymqszjv54.001.mp4,2,1,5,0.5514018691588786,0.5,0.5274725274725275,0.6504854368932039,0.7444444444444444,0.5887850467289719
--Ymqszjv54,--Ymqszjv54.003,train,--Ymqszjv54.003.mp4,2,1,5,0.39252336448598135,0.42708333333333337,0.5164835164835165,0.47572815533980584,0.4666666666666667,0.3925233644859813
--Ymqszjv54,--Ymqszjv54.004,train,--Ymqszjv54.004.mp4,2,1,5,0.3177570093457944,0.32291666666666663,0.5494505494505494,0.36893203883495146,0.5444444444444444,0.40186915887850466
--Ymqszjv54,--Ymqszjv54.005,train,--Ymqszjv54.005.mp4,2,1,5,0.29906542056074764,0.29166666666666663,0.3736263736263736,0.3203883495145631,0.34444444444444444,0.2803738317757009
-2qsCrkXdWs,-2qsCrkXdWs.001,train,-2qsCrkXdWs.001.mp4,2,1,2,0.47663551401869164,0.6041666666666666,0.5934065934065933,0.5728155339805825,0.611111111111111,0.5607476635514018
-55DRRMTppE,-55DRRMTppE.000,train,-55DRRMTppE.000.mp4,2,2,4,0.5794392523364487,0.65625,0.6483516483516484,0.7184466019417477,0.6,0.616822429906542
-55DRRMTppE,-55DRRMTppE.005,train,-55DRRMTppE.005.mp4,2,2,4,0.7383177570093458,0.6875,0.7692307692307692,0.7378640776699029,0.7333333333333333,0.7570093457943924
-5riMLK-PgU,-5riMLK-PgU.001,train,-5riMLK-PgU.001.mp4,2,1,4,0.5046728971962617,0.3333333333333333,0.5164835164835165,0.30097087378640774,0.5555555555555556,0.37383177570093457
-6otZ7M-Mro,-6otZ7M-Mro.000,train,-6otZ7M-Mro.000.mp4,2,1,5,0.5514018691588786,0.59375,0.6153846153846153,0.7281553398058251,0.7,0.644859813084112
-6otZ7M-Mro,-6otZ7M-Mro.001,train,-6otZ7M-Mro.001.mp4,2,1,5,0.4672897196261683,0.5729166666666666,0.7692307692307692,0.6990291262135921,0.7,0.6728971962616823
-8asrRvfJWA,-8asrRvfJWA.003,train,-8asrRvfJWA.003.mp4,3,2,6,0.4485981308411215,0.3645833333333333,0.4725274725274725,0.4466019417475728,0.4777777777777778,0.3457943925233644
