source,alias_path,source_exists,copied
outputs/final_aggregate/loss_diagnostic_summary_per_run.csv,outputs/posthoc_diagnostics/loss_diagnostic_summary_per_run.csv,True,True
outputs/final_aggregate/train_val_gap_diagnostics.csv,outputs/posthoc_diagnostics/train_val_gap_diagnostics.csv,True,True
outputs/final_aggregate/all_final_histories_long.csv,outputs/posthoc_diagnostics/all_final_histories_long.csv,True,True
outputs/final_aggregate/all_runs_history_with_val_loss.csv,outputs/posthoc_diagnostics/all_runs_history_with_val_loss.csv,True,True
outputs/final_aggregate/aggregate_loss_by_epoch.csv,outputs/posthoc_diagnostics/aggregate_loss_by_epoch.csv,True,True
outputs/final_aggregate/aggregate_loss_curve_by_epoch.csv,outputs/posthoc_diagnostics/aggregate_loss_curve_by_epoch.csv,True,True
outputs/final_aggregate/aggregate_loss_curve.png,outputs/posthoc_diagnostics/aggregate_loss_curve.png,True,True
outputs/final_aggregate/aggregate_train_vs_val_loss_mean_std.png,outputs/posthoc_diagnostics/aggregate_train_vs_val_loss_mean_std.png,True,True
outputs/final_aggregate/aggregate_train_val_gap_mean_std.png,outputs/posthoc_diagnostics/aggregate_train_val_gap_mean_std.png,True,True
outputs/final_aggregate/all_runs_train_vs_val_loss_overlay.png,outputs/posthoc_diagnostics/all_runs_train_vs_val_loss_overlay.png,True,True
outputs/final_aggregate/overfit_underfit_interpretation.txt,outputs/posthoc_diagnostics/overfit_underfit_interpretation.txt,True,True
outputs/final_aggregate/regression_to_mean_summary.csv,outputs/posthoc_diagnostics/regression_to_mean_summary.csv,True,True
outputs/final_aggregate/best_val_test_trait_summary.csv,outputs/posthoc_diagnostics/best_val_test_trait_summary.csv,True,True
outputs/final_aggregate/best_val_test_bin_analysis.csv,outputs/posthoc_diagnostics/best_val_test_bin_analysis.csv,True,True
outputs/final_aggregate/best_val_test_residuals_long.csv,outputs/posthoc_diagnostics/best_val_test_residuals_long.csv,True,True
outputs/final_aggregate/top20_worst_predictions.csv,outputs/posthoc_diagnostics/top20_worst_predictions.csv,True,True
outputs/final_aggregate/top20_best_predictions.csv,outputs/posthoc_diagnostics/top20_best_predictions.csv,True,True
outputs/figures/true_std_vs_pred_std_best_val.png,outputs/posthoc_diagnostics/true_std_vs_pred_std_best_val.png,True,True
outputs/figures/true_std_vs_pred_std.png,outputs/posthoc_diagnostics/true_std_vs_pred_std.png,True,True
outputs/figures/per_trait_mae_best_val.png,outputs/posthoc_diagnostics/per_trait_mae_best_val.png,True,True
outputs/figures/per_trait_mae.png,outputs/posthoc_diagnostics/per_trait_mae.png,True,True
outputs/figures/per_trait_r2_best_val.png,outputs/posthoc_diagnostics/per_trait_r2_best_val.png,True,True
outputs/figures/per_trait_r2.png,outputs/posthoc_diagnostics/per_trait_r2.png,True,True
outputs/figures/best_val_test_bin_analysis.png,outputs/posthoc_diagnostics/best_val_test_bin_analysis.png,True,True
outputs/figures/best_val_test_residual_boxplot.png,outputs/posthoc_diagnostics/best_val_test_residual_boxplot.png,True,True
outputs/figures/histogram_true_vs_pred_best_val.png,outputs/posthoc_diagnostics/histogram_true_vs_pred_best_val.png,True,True
outputs/figures/scatter_true_vs_pred_best_val.png,outputs/posthoc_diagnostics/scatter_true_vs_pred_best_val.png,True,True
